#blinkered/attestations/2 language=et words=74389 sources=11 built=2026-09-23 digest=285603bc33d3a73c
#tokens ebible:ekk=114996 gut=10447 ia=943424 lz:est_news_2022_300K=362775 lz:est_newscrawl_2017_1M=1685587 tat=24005 web:aripaev.ee=250616 web:delfi.ee=56942 web:eestinaine.ee=5351 web:err.ee=219169 web:looming.ee=318891 web:lounaeestlane.ee=179274 web:ohtuleht.ee=34001 web:pealinn.ee=52 web:postimees.ee=100105 web:sirp.ee=273572 wiki:et=56872163 wikisource:et=463507
MÕRVATAKSE	lz:est_newscrawl_2017_1M,web:looming.ee,wiki:et	1,2,15	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/teemalehed/leelo-tungal web:looming.ee:https://www.looming.ee/hauptwachtmeister-ludwiki-jarglased/ wiki:et:31673 wiki:et:45272
MÜRSKUDELE	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/2482323/reservkolonel-arvo-sireli-kohtuasi-lukkus-maaramatusesse-parim-noor-politseinik-on-ardo-ranne wiki:et:7280 wiki:et:132901
MUSIKAALSUS	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:https://www.kuldnebors.ee/search/ehitus/search.mec?pob_evt=onpageindex=search=10675==1=25=2 wiki:et:19779 wiki:et:41529
MUSTKUNSTNIKU	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=11231 wiki:et:23592 wiki:et:86758
MUUDATUSTEKS	lz:est_newscrawl_2017_1M,web:aripaev.ee,web:err.ee,web:postimees.ee,wiki:et	1,2,1,1,15	lz:est_newscrawl_2017_1M:http://www.kuulutaja.ee/category/tasub-teada/page/19/ web:aripaev.ee:https://www.aripaev.ee/uudised/2026/09/15/karis-nimetas-ministrid-ametisse-et-siis-oleks-viimane-kord-eks-ole web:aripaev.ee:https://www.aripaev.ee/borsiuudised/2026/09/15/intressihirm-surub-wall-streeti-alla-nafta-hind-pusib-korgel web:err.ee:https://www.err.ee/1610137822/harri-tiido-idealistlik-plaan-vordsuse-saavutamiseks web:postimees.ee:https://www.postimees.ee/8546266 wiki:et:31360 wiki:et:181401
MÜÜGISAALI	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/uudised_kommentaar?id=18401 wiki:et:262726 wiki:et:286263
MUUSIKAVALIK	lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	1,1,15	lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=9423 web:sirp.ee:https://www.sirp.ee/romantiline-kurbm-ng-sodoomilises-soustis/ wiki:et:57735 wiki:et:109108
MÜÜTILISEST	lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	1,1,15	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/594369/kommentaarid web:sirp.ee:https://www.sirp.ee/galeriid-2/ wiki:et:530 wiki:et:9994
NAFTATÖÖTLEMISE	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/1939445/pealinnas-hakkab-kujunema-kahe-ulikooli-susteem wiki:et:11 wiki:et:96
NÄIDATAVA	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.eestikirik.ee/number/2008_05_14_nr_23/page/2/ wiki:et:4811 wiki:et:61484
NAISEKEHA	lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	1,1,15	lz:est_newscrawl_2017_1M:http://www.aripaev.ee/uudised/2017/03/03/aripaeva-fotograaf-andras-kralla-tegi-aasta-parima-pressifoto web:sirp.ee:https://www.sirp.ee/galeriid/ wiki:et:11690 wiki:et:81019
NÄITAVAID	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/3469773/riigikohus-linnapea-ametist-korvaldamine-on-pohiseadusega-kooskolas wiki:et:11916 wiki:et:110685
NÄITLESID	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.aripaev.ee/juhtkiri/2015/12/21/roheline-kuld-paneb-silmad-sarama wiki:et:103345 wiki:et:204088
NÄITUSTELT	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/764748/vaino-pentus-astus-reformierakonnast-valja wiki:et:2795 wiki:et:56896
NELJANE	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.vabaeestisona.com/index.php/eesti-uudised/6629-uus-portaal-aitab-eestis-otsida-toeoemeest.html wiki:et:17974 wiki:et:29097
NOORTEKESKUST	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/3169457/nestor-ja-sikorski-ukraina-kriisi-kiire-lahendamine-pidurdab-oluliselt-venemaa-mojuvoimu-laienemist wiki:et:27765 wiki:et:36023
NOORUSAASTATEL	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/2510837/avati-eesti-panga-muuseum wiki:et:31641 wiki:et:36645
NÜANSSIDE	lz:est_newscrawl_2017_1M,web:looming.ee,wiki:et	1,2,15	lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=19346 web:looming.ee:https://www.looming.ee/ukskoik-mida-te-arvate/ web:looming.ee:https://www.looming.ee/eklektiline-sisikond/ wiki:et:20412 wiki:et:33488
NURJUMINE	lz:est_newscrawl_2017_1M,web:looming.ee,wiki:et	1,1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/1953917/tallinn-on-valmis-keelama-rahva-paasu-lillekula-staadionile web:looming.ee:https://www.looming.ee/ruutkilomeeter-ajalugu/ wiki:et:15053 wiki:et:20740
OAASIS	lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	1,1,15	lz:est_newscrawl_2017_1M:https://www.meiemaa.ee/index.php?content=artiklid=2=73905 web:sirp.ee:https://www.sirp.ee/kergitab-kulmu-18/ wiki:et:692 wiki:et:1247
OHTLIKES	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=3803 wiki:et:13911 wiki:et:110263
OHUTUMAID	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/2559137/taevast-langeb-tuhandeid-tahti wiki:et:5203 wiki:et:6655
ÕIGUSKOMISJONIS	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/607027/palju-onne-su-nagu-kolab-tuttavalt-kolmanda-hooaja-voitja-on-mart-muurisepp wiki:et:47123 wiki:et:112721
OLETATAVAL	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.aripaev.ee/standardne-top/2015/10/21/top-vaata-hiiumaa-edukamaid-firmasid-hiiumaa-top wiki:et:38066 wiki:et:40663
ÖÖBIMISEKS	lz:est_newscrawl_2017_1M,web:postimees.ee,wiki:et	1,1,15	lz:est_newscrawl_2017_1M:http://www.postimees.ee/2472255/riia-vallutamine-muut-eesti-lennuvaest web:postimees.ee:https://www.postimees.ee/8546477 wiki:et:156084 wiki:et:185337
OOTEALA	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.delfi.ee/news/paevauudised/eesti/e-sigarettide-toetajad-soovivad-petitsiooniga-e-sigareti-aktsiisist-paaseda?id=77552012=1=2 wiki:et:12947 wiki:et:35633
ÕPPEJÕULE	lz:est_newscrawl_2017_1M,web:looming.ee,wiki:et	1,1,15	lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=27446 web:looming.ee:https://www.looming.ee/emakeeleopetajad-igal-sugisel/ wiki:et:11730 wiki:et:12618
OPTIMAALSEID	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/792562/vaikevalla-elanik-sundliitmisest-oleksin-vaike-sipelgas-suures-sipelgapesas-kellest-ei-olene-mitte-midagi- wiki:et:898 wiki:et:52765
ORJAPIDAMIST	lz:est_newscrawl_2017_1M,wiki:et	1,15	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/777594/erika-salumae-tutar-sirli-sai-tais-emaks wiki:et:882 wiki:et:1247
